file,build_id,title,commander,total,gcs,fast_mana_flags,free_interaction_flags,tutor_pressure_flags,lock_salt_flags,grave_hate_plan_tools,primary_wincon_markers,creatures,artifacts,enchantments,instants,sorceries,lands
teval-reference.md,TEV-A,Tuned Bracket 3 (teval-1),"Teval, the Balanced Scale",99,Rhystic Study; Cyclonic Rift; Fierce Guardianship,,Force of Negation; Fierce Guardianship,Entomb; Buried Alive,,"Assassin's Trophy; Boseiju, Who Endures; Dauthi Voidwalker; Endurance; Krosan Grip; Nature's Claim; Otawara, Soaring City","Cyclonic Rift; Jarad, Golgari Lich Lord; Living Death; Lord of Extinction; Massacre Wurm; Scute Swarm; Syr Konrad, the Grim",24,12,7,11,9,36
teval-reference.md,TEV-B,Tuned Bracket 3 Updated (teval-2),"Teval, the Balanced Scale",99,Rhystic Study; Cyclonic Rift; Fierce Guardianship,,Force of Negation; Fierce Guardianship,Buried Alive,,"Assassin's Trophy; Beast Within; Boseiju, Who Endures; Endurance; Krosan Grip; Nature's Claim; Otawara, Soaring City; Soul-Guide Lantern","Cyclonic Rift; Jarad, Golgari Lich Lord; Living Death; Lord of Extinction; Massacre Wurm; Scute Swarm; Syr Konrad, the Grim",24,12,6,12,9,36
teval-reference.md,TEV-D,Max Degeneracy Alternate-GC (Rhystic / Rift / Fierce),"Teval, the Balanced Scale",99,Rhystic Study; Cyclonic Rift; Fierce Guardianship,,Force of Negation; Pact of Negation; Fierce Guardianship,Entomb; Buried Alive,,"Assassin's Trophy; Boseiju, Who Endures; Dauthi Voidwalker; Endurance; Krosan Grip; Soul-Guide Lantern","Cyclonic Rift; Jarad, Golgari Lich Lord; Living Death; Lord of Extinction; Scute Swarm; Syr Konrad, the Grim",23,12,6,14,8,36
teval-reference.md,TEV-E,Max Degeneracy Lands-Lock (Crop / Field / Glacial Chasm),"Teval, the Balanced Scale",99,Crop Rotation; Field of the Dead; Glacial Chasm,,Force of Negation; Pact of Negation,Crop Rotation; Entomb; Buried Alive,Strip Mine; Wasteland; Field of the Dead; Glacial Chasm,Assassin's Trophy; Beast Within; Dauthi Voidwalker; Endurance; Krosan Grip; Nature's Claim; Seal of Primordium,"Jarad, Golgari Lich Lord; Living Death; Lord of Extinction; Massacre Wurm; Scute Swarm; Syr Konrad, the Grim",23,12,6,14,8,36
muldrotha-reference.md,MUL-A,Authoritative Bracket 3 (Default),"Muldrotha, the Gravetide",99,Survival of the Fittest; The One Ring; Force of Will,,Force of Negation; Force of Will,Survival of the Fittest; Entomb; Buried Alive,,"Assassin's Trophy; Beast Within; Bojuka Bog; Boseiju, Who Endures; Dauthi Voidwalker; Krosan Grip; Nature's Claim; Otawara, Soaring City; Perpetual Timepiece; Seal of Primordium; Soul-Guide Lantern","Jarad, Golgari Lich Lord; Living Death; Lord of Extinction; Massacre Wurm; Syr Konrad, the Grim",21,12,7,15,8,36
muldrotha-reference.md,MUL-D,Max Degeneracy (The One Ring / Survival / Fierce),"Muldrotha, the Gravetide",99,The One Ring; Survival of the Fittest; Fierce Guardianship,,Force of Negation; Pact of Negation; Fierce Guardianship,Survival of the Fittest; Entomb; Buried Alive,,"Assassin's Trophy; Beast Within; Bojuka Bog; Boseiju, Who Endures; Dauthi Voidwalker; Krosan Grip; Nature's Claim; Otawara, Soaring City; Perpetual Timepiece; Seal of Primordium; Soul-Guide Lantern","Craterhoof Behemoth; Jarad, Golgari Lich Lord; Living Death; Lord of Extinction; Syr Konrad, the Grim",23,12,6,14,8,36
muldrotha-reference.md,MUL-E,Max Degeneracy Turbo (Ancient Tomb / Mana Vault / Chrome Mox),"Muldrotha, the Gravetide",99,Ancient Tomb; Mana Vault; Chrome Mox,Mana Vault; Chrome Mox; Ancient Tomb,Force of Negation; Pact of Negation,Entomb; Buried Alive,,"Assassin's Trophy; Beast Within; Bojuka Bog; Boseiju, Who Endures; Dauthi Voidwalker; Endurance; Krosan Grip; Nature's Claim; Otawara, Soaring City; Perpetual Timepiece; Seal of Primordium; Soul-Guide Lantern","Jarad, Golgari Lich Lord; Living Death; Lord of Extinction; Massacre Wurm; Syr Konrad, the Grim",22,15,5,13,8,36
